merchantName,canonicalSlug,storePageUrl,logoUrl,category,rate,note
"1001 Optometry","1001-optometry","https://kickpay.co/activate/1001-optometry?source=rewardist","https://c.cfjump.com/Avatars/a50a2b5d-d069-4534-8fa3-bc834924a7a8.png","Beauty & Skincare","[object Object]","null"
"365Rider","365rider","https://kickpay.co/activate/365rider?source=rewardist","https://ui.awin.com/images/upload/merchant/profile/26763.png","Sports & Outdoors","[object Object]","Default: 3.5%
Helmets: 3%
Wheelsets & Wheels: 2%
Electronics & Tech: 2%
Nutrition & Hydration: 2%
Bikes & Rollers: 2%
DEFAULT VOUCHER: 2%
Tyres & Tubes: 1.5%"
"3DMakerpro (Global)","3dmakerpro-global","https://kickpay.co/activate/3dmakerpro-global?source=rewardist","https://ui.awin.com/images/upload/merchant/profile/48247.png","Electronics & Tech","[object Object]","null"
"945Industries","945industries","https://kickpay.co/activate/945industries?source=rewardist","https://www.google.com/s2/favicons?domain=945industries.com&sz=128","Department Store","[object Object]","null"
"9am HOME","9am-home","https://kickpay.co/activate/9am-home?source=rewardist","https://www.google.com/s2/favicons?domain=9amhome.com&sz=128","Department Store","[object Object]","null"
"A Life Plus AU","a-life-plus-au","https://kickpay.co/activate/a-life-plus-au?source=rewardist","https://content.flexlinks.com/SharedImages/ProgramSquareLogo/241431.png","Food & Drink","[object Object]","null"
"AAT Kings","aat-kings","https://kickpay.co/activate/aat-kings?source=rewardist","https://c.cfjump.com/Avatars/add9358d-ddcb-4e89-87b7-eb303316b4ee.png","Travel","[object Object]","null"
"ABC Wigs","abc-wigs","https://kickpay.co/activate/abc-wigs?source=rewardist","https://www.google.com/s2/favicons?domain=abcwigs.com&sz=128","Department Store","[object Object]","null"
"ALLPOWERS INTERNATIONAL","allpowers-international","https://kickpay.co/activate/allpowers-international?source=rewardist","https://ui.awin.com/images/upload/merchant/profile/38934.png","Home & Furniture","[object Object]","Balcony Storage 6%: 4%
Default: 3.5%"
"AMF Magnetics","amf-magnetics","https://kickpay.co/activate/amf-magnetics?source=rewardist","https://c.cfjump.com/Avatars/545957ea-deca-4a89-9af8-bf75d946e8ee.png","Office & Print","[object Object]","null"
