program,programUrl,storeName,storeId,logoUrl,reward,rewardType,isBonusPointsOnly,isUpTo
"kick","https://kickpay.co/activate/1001-optometry?source=rewardist","1001 Optometry","1001optometry","https://c.cfjump.com/Avatars/a50a2b5d-d069-4534-8fa3-bc834924a7a8.png","6.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/365rider?source=rewardist","365Rider","365rider","https://ui.awin.com/images/upload/merchant/profile/26763.png","3.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/3dmakerpro-global?source=rewardist","3DMakerpro (Global)","3dmakerproglobal","https://ui.awin.com/images/upload/merchant/profile/48247.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/945industries?source=rewardist","945Industries","945industries","https://www.google.com/s2/favicons?domain=945industries.com&sz=128","0.06","cashback","false","undefined"
"kick","https://kickpay.co/activate/9am-home?source=rewardist","9am HOME","9amhome","https://www.google.com/s2/favicons?domain=9amhome.com&sz=128","3.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/a-life-plus-au?source=rewardist","A Life Plus AU","alifeplus","https://content.flexlinks.com/SharedImages/ProgramSquareLogo/241431.png","5.6","cashback","false","undefined"
"kick","https://kickpay.co/activate/aat-kings?source=rewardist","AAT Kings","aatkings","https://c.cfjump.com/Avatars/add9358d-ddcb-4e89-87b7-eb303316b4ee.png","3","cashback","false","undefined"
"kick","https://kickpay.co/activate/abc-wigs?source=rewardist","ABC Wigs","abcwigs","https://www.google.com/s2/favicons?domain=abcwigs.com&sz=128","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/allpowers-international?source=rewardist","ALLPOWERS INTERNATIONAL","allpowersinternational","https://ui.awin.com/images/upload/merchant/profile/38934.png","4","cashback","false","undefined"
"kick","https://kickpay.co/activate/amf-magnetics?source=rewardist","AMF Magnetics","amfmagnetics","https://c.cfjump.com/Avatars/545957ea-deca-4a89-9af8-bf75d946e8ee.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/anta-au?source=rewardist","ANTA AU","anta","https://www.google.com/s2/favicons?domain=au.anta.com&sz=128","5.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/aohi?source=rewardist","AOHI","aohi","https://ui.awin.com/images/upload/merchant/profile/59619.png","10.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/ape-born-fitness?source=rewardist","APE BORN Fitness","apebornfitness","https://ui.awin.com/images/upload/merchant/profile/59683.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/aromababy?source=rewardist","AROMABABY","aromababy","https://c.cfjump.com/Avatars/7469c85c-2fae-44f2-9c64-9ecf30d1b95f.png","3","cashback","false","undefined"
"kick","https://kickpay.co/activate/asmax?source=rewardist","ASMAX","asmax","https://ui.awin.com/images/upload/merchant/profile/120575.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/au-bloomchic?source=rewardist","AU-Bloomchic","aubloomchic","https://www.google.com/s2/favicons?domain=bloomchic.au&sz=128","5","cashback","false","undefined"
"kick","https://kickpay.co/activate/aura-home?source=rewardist","AURA Home","aurahome","https://c.cfjump.com/Avatars/16ccc019-c98e-4697-98dd-6bce0e950b64.png","5","cashback","false","undefined"
"kick","https://kickpay.co/activate/aw-bridal?source=rewardist","AW Bridal","awbridal","https://www.google.com/s2/favicons?domain=awbridal.com&sz=128","5.6","cashback","false","undefined"
"kick","https://kickpay.co/activate/awol-vision?source=rewardist","AWOL Vision","awolvision","https://www.google.com/s2/favicons?domain=awolvision.com&sz=128","5","cashback","false","undefined"
"kick","https://kickpay.co/activate/abelssoft-int?source=rewardist","Abelssoft Int","abelssoftint","https://www.google.com/s2/favicons?domain=abelssoft.com&sz=128","0.49","cashback","false","undefined"
"kick","https://kickpay.co/activate/above-the-clouds?source=rewardist","Above the Clouds","abovetheclouds","https://www.google.com/s2/favicons?domain=abovethecloudsstore.com&sz=128","2.8","cashback","false","undefined"
"kick","https://kickpay.co/activate/abracadabra-nyc?source=rewardist","Abracadabra NYC","abracadabranyc","https://ui.awin.com/images/upload/merchant/profile/83201.png","3.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/academy-for-health-and-fitness?source=rewardist","Academy for Health & Fitness","academyforhealthandfitness","https://ui.awin.com/images/upload/merchant/profile/56197.png","15.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/adguard-vpn?source=rewardist","AdGuard VPN","adguardvpn","https://www.google.com/s2/favicons?domain=adguard-vpn.com&sz=128","28","cashback","false","undefined"
"kick","https://kickpay.co/activate/address-hotels-assembly-global?source=rewardist","Address Hotels (Assembly Global)","addresshotelsassemblyglobal","https://www.google.com/s2/favicons?domain=addresshotels.com&sz=128","1.4","cashback","false","undefined"
"kick","https://kickpay.co/activate/adultshop?source=rewardist","AdultShop","adultshop","https://c.cfjump.com/Avatars/0b1c09b5-6198-439b-b88c-ff59ac145be1.png","12.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/adulttoymegastore?source=rewardist","Adulttoymegastore","adulttoymegastore","https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png","14","cashback","false","undefined"
"kick","https://kickpay.co/activate/advwin?source=rewardist","Advwin","advwin","https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png","5","cashback","false","undefined"
"kick","https://kickpay.co/activate/aerre?source=rewardist","Aerre","aerre","https://c.cfjump.com/Avatars/6cf448a7-1ef8-42cf-b080-625bc4a70b00.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/aesop?source=rewardist","Aesop","aesop","https://www.google.com/s2/favicons?domain=aesop.com.au&sz=128","1.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/aiper?source=rewardist","Aiper","aiper","/logos/rakuten/aiper.jpg","8","cashback","false","undefined"
"kick","https://kickpay.co/activate/air-france-klm-flying-blue-points-com?source=rewardist","Air France KLM Flying Blue - Points.com","airfranceklmflyingbluepoints","https://www.google.com/s2/favicons?domain=points.com&sz=128","2","cashback","false","undefined"
"kick","https://kickpay.co/activate/air-india?source=rewardist","Air India","airindia","https://www.google.com/s2/favicons?domain=airindia.com&sz=128","0.01","cashback","false","undefined"
"kick","https://kickpay.co/activate/airasia-travel?source=rewardist","AirAsia Travel","airasiatravel","https://www.google.com/s2/favicons?domain=airasia.com&sz=128","2.1","cashback","false","undefined"
"kick","https://kickpay.co/activate/airzlink-esim-store?source=rewardist","AirZlink eSIM Store","airzlinkesimstore","https://www.google.com/s2/favicons?domain=airzlink.com&sz=128","35","cashback","false","undefined"
"kick","https://kickpay.co/activate/airport-reservations?source=rewardist","Airport Reservations","airportreservations","https://ui.awin.com/images/upload/merchant/profile/55351.png","1.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/airport-transfer-portal?source=rewardist","Airport Transfer Portal","airporttransferportal","https://ui.awin.com/images/upload/merchant/profile/124434.png","7","cashback","false","undefined"
"kick","https://kickpay.co/activate/airtasker-au?source=rewardist","Airtasker AU","airtasker","https://www.google.com/s2/favicons?domain=airtasker.com&sz=128","3.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/alaska-airlines-atmos-rewards-points-com?source=rewardist","Alaska Airlines ATMOS Rewards - Points.com","alaskaairlinesatmosrewardspoints","https://www.google.com/s2/favicons?domain=points.com&sz=128","2","cashback","false","undefined"
"kick","https://kickpay.co/activate/alexander-wang-au?source=rewardist","Alexander Wang AU","alexanderwang","https://www.google.com/s2/favicons?domain=alexanderwang.com&sz=128","3.36","cashback","false","undefined"
"kick","https://kickpay.co/activate/aliexpress-au?source=rewardist","Aliexpress AU","aliexpress","https://ui.awin.com/images/upload/merchant/profile/102799.png","5.5","cashback","false","undefined"
"kick","https://kickpay.co/activate/alibaba-apac?source=rewardist","Alibaba APAC","alibabaapac","https://ui.awin.com/images/upload/merchant/profile/17945.png","7.26","cashback","false","undefined"
"kick","https://kickpay.co/activate/alibaba-aus?source=rewardist","Alibaba AUS","alibabas","https://content.flexlinks.com/SharedImages/ProgramSquareLogo/208516.png","3.36","cashback","false","undefined"
"kick","https://kickpay.co/activate/alipearl-hair-global?source=rewardist","Alipearl Hair (Global)","alipearlhairglobal","https://www.google.com/s2/favicons?domain=alipearlhair.com&sz=128","1.68","cashback","false","undefined"
